team,win,draw,loss,gf,ga,point
BARCELONA,28,4,6,70,20,88
REAL MADRID,24,6,8,75,36,78
ATLETICO MADRID,23,8,7,70,33,77
REAL SOCIEDAD,21,8,9,51,35,71
VILLARREAL,19,7,12,59,40,64
REAL BETIS,17,9,12,46,41,60
OSASUNA,15,8,15,37,42,53
ATHLETIC CLUB,14,9,15,47,43,51
MALLORCA,14,8,16,37,43,50
RAYO VALLECANO,13,10,15,45,53,49
SEVILLA,13,10,15,47,54,49
GIRONA,13,10,15,58,55,49
CELTA VIGO,11,10,17,43,53,43
VALENCIA,11,9,18,42,45,42
GETAFE,10,12,16,34,45,42
CADIZ,10,12,16,30,53,42
ALMERIA,11,8,19,49,65,41
VALLADOLID,11,7,20,33,63,40
ESPANYOL,8,13,17,52,69,37
ELCHE,5,10,23,30,67,25
BARCELONA,28,4,6,70,20,88
REAL MADRID,24,6,8,75,36,78
ATLETICO MADRID,23,8,7,70,33,77
REAL SOCIEDAD,21,8,9,51,35,71
VILLARREAL,19,7,12,59,40,64
REAL BETIS,17,9,12,46,41,60
OSASUNA,15,8,15,37,42,53
ATHLETIC CLUB,14,9,15,47,43,51
MALLORCA,14,8,16,37,43,50
RAYO VALLECANO,13,10,15,45,53,49
SEVILLA,13,10,15,47,54,49
GIRONA,13,10,15,58,55,49
CELTA VIGO,11,10,17,43,53,43
VALENCIA,11,9,18,42,45,42
GETAFE,10,12,16,34,45,42
CADIZ,10,12,16,30,53,42
ALMERIA,11,8,19,49,65,41
VALLADOLID,11,7,20,33,63,40
ESPANYOL,8,13,17,52,69,37
ELCHE,5,10,23,30,67,25
